block,plots,VCP0.32,VCP0.71,VCP1.18,lo1inph,lo2inph,lo3inph,lo1err,lo2err,lo3err,HCP0.32,HCP0.71,HCP1.18,hi1inph,hi2inph,hi3inph,hi1err,hi2err,hi3err,repeat,treatment,name
1,48,22.28,25.45,29.68,2.88,3.02,3.3,0,0.2,0.1,18.74,27.57,37.02,3.11,3.28,3.75,0,0,0.3,2,23,Brennan
1,48,22.1,25.44,30.01,2.86,3.02,3.26,0.1,0,0.2,22.31,28.8,36.52,3.03,3.26,3.8,0,0,0,3,23,Brennan
1,49,21.69,24.26,29.03,2.86,3.13,3.4,0.2,0.2,0,20.99,28.4,37.14,3.05,3.3,3.81,0.1,0.3,0.1,1,39,Rht3 Mercia 2014
1,49,21.79,25.4,30.12,2.89,3.09,3.34,0.1,0,0.2,23.67,30.82,39.42,3.06,3.26,3.65,0.1,0,0,2,39,Rht3 Mercia 2014
1,49,27.81,26.53,30.62,2.81,3.07,3.32,0,0.2,0,6.94,29.16,38.85,3.3,3.28,3.67,0.1,0.1,0.1,3,39,Rht3 Mercia 2014
1,50,22.22,25.95,30.32,2.88,3.08,3.36,0,0.1,0.2,22.91,29.58,36.53,3.05,3.3,3.8,0.1,0,0,1,40,Skyfall (med)
1,50,23.99,26.83,30.93,2.85,3.06,3.34,0.1,0.2,0,22.92,29.67,37.36,3.05,3.29,3.76,0,0.2,0.1,2,40,Skyfall (med)
1,50,23.16,26.29,31.53,2.88,3.08,3.33,0,0.1,0.1,24.16,30.45,38.91,3.02,3.24,3.82,0.1,0.1,0,3,40,Skyfall (med)
1,51,20.61,24.58,28.99,2.85,3.08,3.35,0,0,0.1,22.03,28.5,36.39,3.05,3.32,3.83,0,0,0.2,1,34,Elixer (tall)
1,51,21.71,24.5,28.56,2.89,3.09,3.37,0.1,0.2,0.2,21.09,26.97,34.62,3.05,3.33,3.77,0.1,0.2,0.4,2,34,Elixer (tall)
1,51,23.07,24.69,28.92,2.83,3.12,3.36,0.1,0.1,0.3,19.52,26.54,36.07,3.05,3.3,3.75,0.1,0,0.1,3,34,Elixer (tall)
1,52,20.03,23.49,28.21,2.88,3.09,3.34,0.2,0.2,0.1,20.33,27.2,34.87,3.03,3.32,3.79,0,0.3,0,1,20,BW445-101
1,52,21.62,23.81,27.61,2.84,3.08,3.35,0.1,0,0.1,21.29,27.73,34.99,3.09,3.36,3.8,0,0,0.2,2,20,BW445-101
1,52,20.4,22.59,27.17,2.85,3.09,3.37,0.1,0.2,0.5,19.33,25.58,34.26,3.07,3.31,3.71,0,0.2,0.2,3,20,BW445-101
1,53,17.87,21.74,26.94,2.82,3.01,3.3,0,0,0.1,18.33,24.86,32.85,3.09,3.37,3.85,0,0,0,1,43,SY112-889 (short)
1,53,22.12,24.49,28.64,2.8,3,3.4,0.1,0.1,0.2,21.26,27.7,34.38,3.05,3.3,3.71,0,0.2,0,2,43,SY112-889 (short)
1,53,20.97,23.95,27.62,2.82,3,3.41,0.1,0,0.1,21.99,28.18,34.84,3.01,3.25,3.63,0,0,0.2,3,43,SY112-889 (short)
